OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
4085,5763    0816,092,Vacant-With Permit,4273,1822 WOODMONT PL SE WASHINGTON DC 20020,WOODMONT LLC,27950,0,27950,29180,0,29180,28370,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,157500,12/23/2003 12:00:00 AM,12/23/2003 12:00:00 AM,28370,29180,,311712,1/27/2023 8:03:12 AM,28370
4086,0274    0810,093,Vacant-Zoning Limits,557,TEMPERANCE CT NW WASHINGTON DC 20009,BACK LOT PARTNERS LP,9120,0,9120,9120,0,9120,9120,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1000000,5/31/2013 12:00:00 AM,5/31/2013 12:00:00 AM,9120,9120,,,1/27/2023 8:03:12 AM,9120
4087,3831    0820,191,Vacant-True,1116,9TH ST NE WASHINGTON DC 20017,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),64820,0,64820,64820,0,64820,64820,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,64820,64820,,,1/27/2023 8:03:12 AM,64820
4088,0274    0814,093,Vacant-Zoning Limits,562,TEMPERANCE CT NW WASHINGTON DC 20009,BACK LOT PARTNERS LP,9160,0,9160,9160,0,9160,9160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1000000,5/31/2013 12:00:00 AM,5/31/2013 12:00:00 AM,9160,9160,,,1/27/2023 8:03:12 AM,9160
4089,5145S   0032,091,Vacant-True,3285,FOOTE ST NE WASHINGTON DC 20019,"THE ELY GROUP, LLC",15570,0,15570,15570,0,15570,15570,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,10/1/2008 12:00:00 AM,10/1/2008 12:00:00 AM,15570,15570,,,1/27/2023 8:03:12 AM,15570
4090,1818    0032,091,Vacant-True,16103,3839 MACOMB ST NW WASHINGTON DC 20016-3704,ANDREW FRIEDMAN TRUSTEE,0,0,0,1899030,0,1899030,1543100,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1543100,1899030,,,1/27/2023 8:03:12 AM,1543100
4091,5860    1039,091,Vacant-True,32442,805 HOWARD RD SE WASHINGTON DC 20020-5805,CQ METRO LAND LLC,388660,274780,663440,696530,0,696530,696530,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1600000,7/10/2020 12:00:00 AM,7/10/2020 12:00:00 AM,696530,696530,,,1/27/2023 8:03:12 AM,696530
4092,5510    0813,191,Vacant-True,197843,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,5871980,0,5871980,5871980,0,5871980,5871980,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,5871980,5871980,,,1/27/2023 8:03:12 AM,5871980
4093,5822    0077,091,Vacant-True,5348,FRANKFORD ST SE WASHINGTON DC 20020,FORT STANTON CIVIC ASSOCIATION,6900,0,6900,6900,0,6900,6900,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,6900,6900,,,1/27/2023 8:03:12 AM,6900
4094,2950    0966,092,Vacant-With Permit,749,ASPEN ST NW WASHINGTON DC 20012,WXY TOWNS LLC,0,0,0,141440,0,141440,141440,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1250000,8/12/2022 12:00:00 AM,8/12/2022 12:00:00 AM,141440,141440,,,1/27/2023 8:03:12 AM,141440
4095,5365    0093,093,Vacant-Zoning Limits,2545,44TH PL SE WASHINGTON DC 20019,SHARON R CLARKE TRUSTEE,25530,0,25530,25530,0,25530,25530,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/15/2018 12:00:00 AM,3/15/2018 12:00:00 AM,25530,25530,,68037,1/27/2023 8:03:12 AM,25530
4096,5850    0012,093,Vacant-Zoning Limits,2388,3119 20TH ST SE WASHINGTON DC 20020-2803,GLOBAL TELECOM GROUP REAL ESTATE LLC,28460,0,28460,28460,0,28460,28460,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,10000,9/7/2017 12:00:00 AM,9/7/2017 12:00:00 AM,28460,28460,,316588,1/27/2023 8:03:12 AM,28460
4097,4513    0042,091,Vacant-True,696,19TH ST NE WASHINGTON DC 20002,GREATER MT PISGAH BAPTIST CHURCH,1500,0,1500,1500,0,1500,1500,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1500,1500,,,1/27/2023 8:03:12 AM,1500
4098,0942    0804,193,Vacant-Zoning Limits,133,9TH ST SE WASHINGTON DC 20003,"SVAGDIS, PATRICIA L",39590,0,39590,39590,0,39590,39590,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,1925000,9/2/2021 12:00:00 AM,9/2/2021 12:00:00 AM,39590,39590,"SVAGDIS, MICHAEL P",,1/27/2023 8:03:12 AM,39590
4099,1177    0036,193,Vacant-Zoning Limits,8436,K ST NW WASHINGTON DC 20007,DISTRICT OF COLUMBIA,1703570,0,1703570,1703570,0,1703570,1703570,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1703570,1703570,,,1/27/2023 8:03:12 AM,1703570
4100,5809    0182,091,Vacant-True,2253,1411 MORRIS RD SE WASHINGTON DC 20020-4410,THE OLORUNWUNMI CHILDREN IRREVOCABLE TRUST,134550,0,134550,140320,0,140320,138020,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/22/2019 12:00:00 AM,8/22/2019 12:00:00 AM,138020,140320,"OLORUMWUNMI, ABIODUN",,1/27/2023 8:03:12 AM,138020
4101,4547    0817,091,Vacant-True,6079,429 18TH ST NE WASHINGTON DC 20002,BRILEY INCORPORATED,735560,0,735560,735560,0,735560,735560,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,735560,735560,,,1/27/2023 8:03:12 AM,735560
4102,5662    0167,092,Vacant-With Permit,7855,WESTOVER DR SE WASHINGTON DC 20020,DR KOURA GIBSON,0,0,0,203130,0,203130,238630,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,238630,203130,,336336,1/27/2023 8:03:12 AM,238630
4103,5230    0006,091,Vacant-True,2650,DIX ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,34160,0,34160,34160,0,34160,34160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,34160,34160,,,1/27/2023 8:03:12 AM,34160
4104,1258    0839,091,Vacant-True,818,30TH ST NW WASHINGTON DC 20007,"STEINER, PERRY",188590,0,188590,196600,0,196600,192400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/30/2017 12:00:00 AM,3/30/2017 12:00:00 AM,192400,196600,,,1/27/2023 8:03:12 AM,192400
4105,5246    0109,093,Vacant-Zoning Limits,3646,58TH ST NE WASHINGTON DC 20019,EAST CAPITOL HOMEOWNERSHIP LLC & DISTRICT OF COLUMBIA,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1000,1000,,,1/27/2023 8:03:12 AM,1000
4106,1660    0809,195,Vacant-Commercial Use,15100,WESTERN AVE NW WASHINGTON DC 20015,MAZZA FAMILY FRIENDSHIP HEIGHTS LLC,456780,0,456780,456780,0,456780,456780,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,5/8/2009 12:00:00 AM,5/8/2009 12:00:00 AM,456780,456780,,,1/27/2023 8:03:12 AM,456780
4107,2122    0020,191,Vacant-True,7693,34TH ST NW WASHINGTON DC 20008,PERMANENT OBSERV MISSION HOLY SEE TO OAS,958780,0,958780,958780,0,958780,958780,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,958780,958780,,,1/27/2023 8:03:12 AM,958780
4108,1127    0807,191,Vacant-True,3398,21ST ST NE WASHINGTON DC 20002,DISTRICT OF COLUMBIA,82230,0,82230,82230,0,82230,82230,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,82230,82230,,,1/27/2023 8:03:12 AM,82230
4109,5195    0803,091,Vacant-True,33916,NANNIE HELEN BURROUGHS AVE NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,198750,0,198750,198750,0,198750,198750,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,198750,198750,,,1/27/2023 8:03:12 AM,198750
4110,1459    0846,191,Vacant-True,2980,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,162260,0,162260,162260,0,162260,162260,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,162260,162260,,,1/27/2023 8:03:12 AM,162260
4111,0858    0816,093,Vacant-Zoning Limits,80,6TH ST NE WASHINGTON DC 20002,J CAIN TRUSTEES & W BALDERSON TRUSTEES,1070,0,1070,1070,0,1070,1070,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1070,1070,,,1/27/2023 8:03:12 AM,1070
4112,5079    0808,091,Vacant-True,25000,42ND ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,176000,0,176000,176000,0,176000,176000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,176000,176000,,,1/27/2023 8:03:12 AM,176000
4113,0633    0115,191,Vacant-True,1399,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,628430,0,628430,628430,0,628430,628430,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,628430,628430,,,1/27/2023 8:03:12 AM,628430
4114,5450    0809,091,Vacant-True,40335,F ST SE WASHINGTON DC 20019,UNITED STATES OF AMERICA,49610,0,49610,49610,0,49610,49610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,49610,49610,,,1/27/2023 8:03:12 AM,49610
4115,5176    0196,093,Vacant-Zoning Limits,454,JAY ST NE WASHINGTON DC 20019,FIRST DC LIENS LLC,8500,0,8500,8500,0,8500,8500,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,8/11/2020 12:00:00 AM,8/11/2020 12:00:00 AM,8500,8500,,,1/27/2023 8:03:12 AM,8500
4116,5865    0271,091,Vacant-True,12293,2626 STERLING ST SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,334620,281850,616470,334620,0,334620,334620,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/13/2001 12:00:00 AM,9/13/2001 12:00:00 AM,334620,334620,,,1/27/2023 8:03:12 AM,334620
4117,5185    0810,191,Vacant-True,11308,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,447460,0,447460,447460,0,447460,447460,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,447460,447460,,,1/27/2023 8:03:12 AM,447460
4118,5875    0022,091,Vacant-True,3282,ROBINSON PL SE WASHINGTON DC 20020,"LYONS, GEORGE E",180510,0,180510,180510,0,180510,180510,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,180510,180510,"LYONS, SUSIE",,1/27/2023 8:03:12 AM,180510
4119,1823    0811,192,Vacant-With Permit,24999,3900 WISCONSIN AVE NW WASHINGTON DC 20016-2806,NASH ROADSIDE 3900 WISCONSIN LLC,1214920,0,1214920,1214920,0,1214920,1214920,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1214920,1214920,,"334724,334725,334726,334727",1/27/2023 8:03:12 AM,1214920
4120,5869    1036,093,Vacant-Zoning Limits,2358,HOWARD RD SE WASHINGTON DC 20020,"POWE, BRYAN R",70740,0,70740,70740,0,70740,70740,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,11/17/2020 12:00:00 AM,11/17/2020 12:00:00 AM,70740,70740,,,1/27/2023 8:03:12 AM,70740
4121,5451    0018,091,Vacant-True,2000,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,50120,0,50120,50120,0,50120,50120,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,50120,50120,,,1/27/2023 8:03:12 AM,50120
4122,5083    0116,091,Vacant-True,5962,BENNING RD NE WASHINGTON DC 20019,MARGARET B STEWART REVOCABLE FAMILY TRUST,69990,0,69990,69990,0,69990,69990,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/18/2008 12:00:00 AM,12/18/2008 12:00:00 AM,69990,69990,,,1/27/2023 8:03:12 AM,69990
4123,5243    0149,092,Vacant-With Permit,4558,119 53RD ST NE WASHINGTON DC 20019-6604,"CHAVIS, TERRENCE A",142120,0,142120,147310,0,147310,144260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,195000,9/28/2021 12:00:00 AM,9/28/2021 12:00:00 AM,144260,147310,,319938,1/27/2023 8:03:12 AM,144260
4124,1872    0851,093,Vacant-Zoning Limits,510,JOCELYN ST NW WASHINGTON DC 20015,"SMITH, WILLIAM",11220,0,11220,11220,0,11220,11220,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,11220,11220,"SMITH, ABBIE O",,1/27/2023 8:03:12 AM,11220
4125,0994    0830,191,Vacant-True,7169,PENNSYLVANIA AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,1951760,0,1951760,1951760,0,1951760,1951760,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1951760,1951760,,,1/27/2023 8:03:12 AM,1951760
4126,1556    0865,191,Vacant-True,2869,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,111090,0,111090,111090,0,111090,111090,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,111090,111090,,,1/27/2023 8:03:12 AM,111090
4127,5885    0810,191,Vacant-True,19350,BRUCE ST SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,765680,0,765680,765680,0,765680,765680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,765680,765680,,,1/27/2023 8:03:12 AM,765680
4128,1657    0810,092,Vacant-With Permit,15000,5220 WISCONSIN AVE NW WASHINGTON DC 20015,POTOMAC ELECTRIC POWER COMPANY,10890000,0,10890000,10890000,0,10890000,10890000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,14500000,9/30/2011 12:00:00 AM,9/30/2011 12:00:00 AM,10890000,10890000,,265901,1/27/2023 8:03:12 AM,10890000
4129,2103    0801,193,Vacant-Zoning Limits,48,NW WASHINGTON DC 00000,EF MAIDA LA FARGE,880,0,880,880,0,880,880,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,12/30/2014 12:00:00 AM,12/30/2014 12:00:00 AM,880,880,,,1/27/2023 8:03:12 AM,880
4130,5266    0015,091,Vacant-True,3500,60TH ST NE WASHINGTON DC 20019,"KEMBO, DAVID A T",13090,0,13090,13090,0,13090,13090,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,261000,3/6/2007 12:00:00 AM,3/6/2007 12:00:00 AM,13090,13090,,,1/27/2023 8:03:12 AM,13090
4131,PAR 02540004,191,Vacant-True,630531,5000 MARTIN LUTHER KING JR AVE SW WASHINGTON DC 20,UNITED STATES OF AMERICA,1633080,0,1633080,1633080,0,1633080,1633080,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1633080,1633080,,,1/27/2023 8:03:12 AM,1633080
4132,5359    0802,093,Vacant-Zoning Limits,400,HANNA PL SE WASHINGTON DC 20019,NATCO DEVELOPERS INC SUITE 214,860,0,860,860,0,860,860,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,860,860,,,1/27/2023 8:03:12 AM,860
4133,5463    0805,191,Vacant-True,42551,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,1683740,0,1683740,1683740,0,1683740,1683740,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1683740,1683740,,,1/27/2023 8:03:12 AM,1683740
4134,5869    1143,091,Vacant-True,16588,HOWARD RD SE WASHINGTON DC 20020,DISTRICT OF COLUMBIA HOUSING AUTHORITY,497640,0,497640,497640,0,497640,497640,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,497640,497640,,,1/27/2023 8:03:12 AM,497640
4135,0980    0808,091,Vacant-True,251,1113 K ST NE WASHINGTON DC 20002,ETC CUSTODIAN FBO Z106020 IRA,2840,0,2840,2840,0,2840,2840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,2/5/2019 12:00:00 AM,2/5/2019 12:00:00 AM,2840,2840,,,1/27/2023 8:03:12 AM,2840
4136,4046    0025,091,Vacant-True,742,1805 CAPITOL AVE NE WASHINGTON DC 20002,BETHESDA BAPTIST CHURCH,220960,0,220960,232540,0,232540,224270,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,224270,232540,,,1/27/2023 8:03:12 AM,224270
4137,2950    0947,092,Vacant-With Permit,861,ASPEN ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,0,0,0,162590,0,162590,162590,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,162590,162590,,,1/27/2023 8:03:12 AM,162590
4138,5669    0806,091,Vacant-True,6195,36TH ST SE WASHINGTON DC 20020,RYLAND EPWORTH UNITED METHODIST CHRCH,93050,0,93050,93050,0,93050,93050,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,93050,93050,,,1/27/2023 8:03:12 AM,93050
4139,5359    0335,091,Vacant-True,4400,4645 G ST SE WASHINGTON DC 20019,MARSHALL HEIGHTS COMMUNITY DEVELOPMENT,141280,0,141280,146870,0,146870,143400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,63000,11/13/2003 12:00:00 AM,11/13/2003 12:00:00 AM,143400,146870,,,1/27/2023 8:03:12 AM,143400
4140,0570    0015,191,Vacant-True,3375,2ND ST NW WASHINGTON DC 20001,DISTRICT OF COLUMBIA,92810,0,92810,92810,0,92810,92810,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,92810,92810,,309460,1/27/2023 8:03:12 AM,92810
4141,5565    0073,091,Vacant-True,14951,1415 YOUNG ST SE WASHINGTON DC 20020-5345,YOUNG STREET LLC,1086660,0,1086660,1086940,0,1086940,1086660,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1086660,1086940,,310118,1/27/2023 8:03:12 AM,1086660
4142,3231    0825,091,Vacant-True,320,NEW HAMPSHIRE AVE NW WASHINGTON DC 20011,"ZEMZ, DESALENGE Z",6210,680,6890,6210,680,6890,6210,680,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,285000,10/8/2004 12:00:00 AM,10/8/2004 12:00:00 AM,6890,6890,,,1/27/2023 8:03:12 AM,6890
4143,5394    0133,091,Vacant-True,4575,E ST SE WASHINGTON DC 20019,E STREET DUPLEX LLC,142280,0,142280,148050,0,148050,144430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,330000,4/23/2021 12:00:00 AM,4/23/2021 12:00:00 AM,144430,148050,,,1/27/2023 8:03:12 AM,144430
4144,5877    1083,092,Vacant-With Permit,2316,2416 JAMES BANKS RD SE WASHINGTON DC 20020-3747,"SCALES, SHARISA",74820,0,74820,140600,439500,580100,74820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,608255,7/18/2022 12:00:00 AM,7/18/2022 12:00:00 AM,74820,580100,,317258,1/27/2023 8:03:12 AM,74820
4145,4376    0810,191,Vacant-True,20533,V ST NE WASHINGTON DC 20018,PHILADELPHIA BALTIMORE & WASHINGTON RAILROAD COMP,1118020,0,1118020,1118020,0,1118020,1118020,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1118020,1118020,,,1/27/2023 8:03:12 AM,1118020
4146,0957    0813,093,Vacant-Zoning Limits,309,I ST NE WASHINGTON DC 20002,"ROBERTS, MARIA",2070,0,2070,2070,0,2070,2070,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2070,2070,,,1/27/2023 8:03:12 AM,2070
4147,5198    0171,091,Vacant-True,6345,52ND ST NE WASHINGTON DC 20019,"HAUSER, CHRISTOPHER",28550,0,28550,28550,0,28550,28550,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,6/27/2016 12:00:00 AM,6/27/2016 12:00:00 AM,28550,28550,,,1/27/2023 8:03:12 AM,28550
4148,5515    0001,091,Vacant-True,2770,CARPENTER ST SE WASHINGTON DC 20019,UNITED STATES OF AMERICA,52020,0,52020,52020,0,52020,52020,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,52020,52020,,,1/27/2023 8:03:12 AM,52020
4149,1030    0071,191,Vacant-True,9692,D ST NE WASHINGTON DC 20002,DISTRICT OF COLUMBIA,2638650,0,2638650,2638650,0,2638650,2638650,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2638650,2638650,,,1/27/2023 8:03:12 AM,2638650
4150,0575    0821,191,Vacant-True,43684,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,54113120,0,54113120,54113120,0,54113120,54113120,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,54113120,54113120,,,1/27/2023 8:03:12 AM,54113120
4151,RES 02620000,191,Vacant-True,1152,KENTUCKY AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,156120,0,156120,156120,0,156120,156120,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,156120,156120,,,1/27/2023 8:03:12 AM,156120
4152,3591    7044,091,Vacant-True,0,5TH ST NE WASHINGTON DC 00000,CG UNION MARKET LP,350430,0,350430,350430,0,350430,350430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,23500000,3/22/2021 12:00:00 AM,3/22/2021 12:00:00 AM,350430,350430,,,1/27/2023 8:03:12 AM,350430
4153,5415    0812,091,Vacant-True,4080,EAST CAPITOL ST SE WASHINGTON DC 20019,DISTRICT OF COLUMBIA,50060,0,50060,50060,0,50060,50060,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,50060,50060,,,1/27/2023 8:03:12 AM,50060
4154,3155N   0800,191,Vacant-True,11393,NW WASHINGTON DC 00000,DISTRICT OF COLUMBIA,193340,0,193340,193340,0,193340,193340,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,193340,193340,,,1/27/2023 8:03:12 AM,193340
4155,3648    1101,092,Vacant-With Permit,1040,450 HOLMWOOD DR NE WASHINGTON DC 20017,TRI POINTE HOMES DC METRO INC,89360,0,89360,148370,0,148370,148370,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,4159852,9/13/2021 12:00:00 AM,9/13/2021 12:00:00 AM,148370,148370,,333743,1/27/2023 8:03:12 AM,148370
4156,1028    0838,091,Vacant-True,1700,F ST NE WASHINGTON DC 20002,"WATKINS, YELBERTON R",274190,0,274190,315010,0,315010,281400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,281400,315010,,,1/27/2023 8:03:12 AM,281400
4157,3831    0826,191,Vacant-True,2186,9TH ST NE WASHINGTON DC 20017,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),126960,0,126960,126960,0,126960,126960,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,126960,126960,,,1/27/2023 8:03:12 AM,126960
4158,0553    0108,093,Vacant-Zoning Limits,675,BROOKS CT NW WASHINGTON DC 20001,TRUXTON ALLEY LLC,42410,0,42410,45120,0,45120,42840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,2/28/2022 12:00:00 AM,2/28/2022 12:00:00 AM,42840,45120,,,1/27/2023 8:03:12 AM,42840
4159,0441    0873,192,Vacant-With Permit,3432,WILTBERGER ST NW WASHINGTON DC 20001,DISTRICT OF COLUMBIA,1150610,0,1150610,1150610,0,1150610,1150610,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1150610,1150610,,,1/27/2023 8:03:12 AM,1150610
4160,5154    0013,091,Vacant-True,3180,4607 KANE PL NE WASHINGTON DC 20019,"GARVIN, RONALD D",39780,0,39780,39780,0,39780,39780,0,YES,,NO HOMESTEAD,Vacant real property,5,,0,75000,10/14/2009 12:00:00 AM,10/14/2009 12:00:00 AM,39780,39780,"ADAMS, PHYLIS J",,1/27/2023 8:03:12 AM,39780
4161,5684    0028,093,Vacant-Zoning Limits,3375,SOUTHERN AVE SE WASHINGTON DC 20020,"COOKE, MARKITA A",27240,0,27240,27240,0,27240,27240,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,890000,6/30/2022 12:00:00 AM,6/30/2022 12:00:00 AM,27240,27240,"COOKE, MICHAEL",,1/27/2023 8:03:12 AM,27240
4162,5401    0846,093,Vacant-Zoning Limits,338,333 BURNS ST SE WASHINGTON DC 20019-4110,"WILLIAMS, PHYLLIS E",3830,0,3830,3830,0,3830,3830,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3830,3830,,,1/27/2023 8:03:12 AM,3830
4163,4515    0803,191,Vacant-True,2776,2021 BENNING RD NE WASHINGTON DC 20002-4725,SC BENNING ROAD LLC,621410,0,621410,621410,0,621410,621410,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,953150,3/10/2022 12:00:00 AM,3/10/2022 12:00:00 AM,621410,621410,,,1/27/2023 8:03:12 AM,621410
4164,2950    0957,092,Vacant-With Permit,749,ASPEN ST NW WASHINGTON DC 20012,DISTRICT OF COLUMBIA,0,0,0,141440,0,141440,141440,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,141440,141440,,,1/27/2023 8:03:12 AM,141440
